ID,choice,rt,condition_int,state,contrast_left,contrast_right,reward,trials,blocks,contrast,ecoperf,condition
11,0,554,4,0,0.139488193,0.860511807,1,6,4,1,0,4
11,1,678,4,0,0.132976544,0.867023456,1,7,4,1,1,4
11,0,729,4,1,0.830107522,0.169892478,0,8,4,1,1,4
11,1,581,4,0,0.14929733,0.85070267,1,9,4,1,1,4
11,0,543,4,1,0.841320758,0.158679242,0,10,4,1,1,4
11,0,526,4,1,0.830004102,0.169995898,0,11,4,1,1,4
11,0,537,4,1,0.828775085,0.171224915,0,12,4,1,1,4
11,0,480,4,1,0.866167112,0.133832888,0,13,4,1,1,4
11,0,495,4,1,0.842978767,0.157021233,0,14,4,1,1,4
11,1,407,4,0,0.142034631,0.857965369,1,15,4,1,1,4
11,0,572,4,1,0.828226319,0.171773681,0,16,4,1,1,4
11,1,776,4,0,0.179694278,0.820305722,1,17,4,1,1,4
11,1,734,4,0,0.149623948,0.850376052,1,18,4,1,1,4
11,0,582,4,1,0.818403168,0.181596832,0,19,4,1,1,4
11,0,598,4,1,0.862461857,0.137538143,0,20,4,1,1,4
11,1,704,4,0,0.150265419,0.849734581,1,21,4,1,1,4
11,0,704,4,1,0.810765424,0.189234576,0,22,4,1,1,4
11,1,730,4,0,0.123423542,0.876576458,1,23,4,1,1,4
11,1,815,4,0,0.156467375,0.843532625,1,24,4,1,1,4
11,0,689,4,1,0.866214865,0.133785135,0,25,4,1,1,4
11,0,535,3,1,0.87376785,0.12623215,0,1,5,1,1,3
11,1,426,3,0,0.180009944,0.819990056,1,2,5,1,1,3
11,0,382,3,1,0.849928247,0.150071753,0,3,5,1,1,3
11,0,480,3,1,0.809944655,0.190055345,0,4,5,1,1,3
11,0,488,3,1,0.849974855,0.150025145,0,5,5,1,1,3
11,1,463,3,0,0.127785546,0.872214454,1,6,5,1,1,3
11,1,428,3,0,0.149801134,0.850198866,1,7,5,1,1,3
11,0,391,3,1,0.805207753,0.194792247,0,8,5,1,1,3
11,1,420,3,0,0.132804908,0.867195092,1,9,5,1,1,3
11,1,457,3,0,0.165516086,0.834483914,1,10,5,1,1,3
11,0,529,3,0,0.157140912,0.842859088,1,11,5,1,0,3
11,0,497,3,0,0.137356509,0.862643491,1,12,5,1,0,3
11,1,615,3,0,0.174077104,0.825922896,1,13,5,1,1,3
11,1,616,3,0,0.169606709,0.830393291,1,14,5,1,1,3
11,0,698,3,1,0.8234751,0.1765249,0,15,5,1,1,3
11,0,472,3,1,0.809079798,0.190920202,0,16,5,1,1,3
11,0,356,3,1,0.834373396,0.165626604,0,17,5,1,1,3
11,1,394,3,0,0.168805289,0.831194711,1,18,5,1,1,3
