ID	choice	rt	choice_cond	state	contrast_left	contrast_right	mu	correct	trials	blocks	contrast	congruence	con_diff_choice	ecoperf
276	1	[644]	1	1	0.574450049240032	0.425549950759967	49	0	1	1	1	1	0.148900098480065	0
276	0	[560]	1	1	0.583858799354868	0.416141200645131	66	1	2	1	1	1	0.167717598709737	1
276	1	[542]	1	0	0.444996463848465	0.555003536151534	77	1	3	1	1	1	0.110007072303069	1
276	1	[595]	1	0	0.466180811508813	0.533819188491186	50	0	4	1	1	1	0.067638376982373	1
276	0	[567]	1	1	0.518829133252597	0.481170866747402	63	1	5	1	1	1	0.037658266505195	1
276	0	[612]	1	1	0.593793977534277	0.406206022465722	76	1	6	1	1	1	0.187587955068555	1
276	1	[475]	1	1	0.595820417131656	0.404179582868343	75	1	7	1	1	1	0.191640834263313	0
276	1	[473]	1	0	0.413554229852784	0.586445770147215	75	1	8	1	1	1	0.172891540294431	1
276	0	[515]	1	1	0.598546024582484	0.401453975417515	76	1	9	1	1	1	0.197092049164969	1
276	1	[500]	1	0	0.463081894784606	0.536918105215393	75	1	10	1	1	1	0.073836210430787	1
276	1	[815]	1	1	0.534485422473156	0.465514577526843	83	0	11	1	1	1	0.068970844946313	0
276	0	[484]	1	0	0.459328529799088	0.540671470200911	79	1	12	1	1	1	0.081342940401823	0
276	1	[504]	1	0	0.413225717232957	0.586774282767042	78	1	13	1	1	1	0.173548565534085	1
276	0	[632]	1	1	0.524193498437597	0.475806501562402	74	0	14	1	1	1	0.048386996875195	1
276	1	[535]	1	0	0.455755203073804	0.544244796926196	76	1	15	1	1	1	0.088489593852392	1
276	0	[431]	1	0	0.454279040419783	0.545720959580216	76	1	16	1	1	1	0.091441919160433	0
276	1	[643]	1	1	0.542199540395608	0.457800459604391	74	0	17	1	1	1	0.0843990807912171	0
276	1	[835]	1	0	0.48164284442013	0.518357155579869	75	1	18	1	1	1	0.0367143111597389	1
276	1	[533]	1	0	0.447553262232207	0.552446737767792	81	1	19	1	1	1	0.104893475535585	1
276	1	[741]	1	1	0.536088613283253	0.463911386716746	78	1	20	1	1	1	0.072177226566507	0
276	1	[435]	1	0	0.465012296363139	0.534987703636861	79	1	21	1	1	1	0.069975407273722	1
276	1	[502]	1	0	0.402107438265716	0.597892561734283	75	0	22	1	1	1	0.195785123468567	1
276	0	[630]	1	1	0.569664006327848	0.430335993672151	74	1	23	1	1	1	0.139328012655697	1
276	1	[547]	1	0	0.444158303652507	0.555841696347492	76	1	24	1	1	1	0.111683392694985	1
276	0	[489]	1	1	0.52085078804563	0.47914921195437	77	1	25	1	1	1	0.04170157609126	1
276	0	[721]	3	1	0.920825378076396	0.0791746219236034	50	0	1	2	0	1	0.841650756152793	0
276	0	[497]	3	1	0.881829501594	0.118170498405999	39	1	2	2	0	1	0.763659003188001	0
276	1	[375]	3	0	0.125956200664874	0.874043799335125	50	0	3	2	0	1	0.748087598670251	0
276	1	[378]	3	0	0.0821621112717121	0.917837888728287	64	0	4	2	0	1	0.835675777456575	0
276	0	[400]	3	0	0.148667428127774	0.851332571872225	66	1	5	2	0	1	0.702665143744451	1
276	1	[381]	3	0	0.0725588967264176	0.927441103273582	76	0	6	2	0	1	0.854882206547164	0
276	0	[495]	3	0	0.147675308691008	0.852324691308991	71	0	7	2	0	1	0.704649382617983	1
276	1	[437]	3	1	0.877986566189159	0.12201343381084	75	1	8	2	0	1	0.755973132378319	1
