ID,choice,rt,choice_cond,state,contrast_left,contrast_right,mu,correct,trials,blocks,contrast,congruence,con_diff_choice,ecoperf,mu_congruence,condition,actual_mu,est_error
139,1,"[748.5]",2,1,0.542468017037763,0.457531982962236,0.5,0,1,1,1,0,0.084936034075527,0,0.5,2,0.9,0.4
139,1,"[745.7999999523163]",2,1,0.524261868592444,0.475738131407555,0.28,0,2,1,1,0,0.0485237371848889,0,0.72,2,0.9,0.18
139,0,"[727.3999999761581]",2,0,0.489832314444945,0.510167685555054,0.5,0,3,1,1,0,0.020335371110109,0,0.5,2,0.9,0.4
139,1,"[673.3999999761581]",2,0,0.489475586959831,0.510524413040168,0.26,1,4,1,1,0,0.021048826080337,1,0.74,2,0.9,0.16
139,1,"[776.5999999642372]",2,1,0.502248859648518,0.497751140351481,0.34,0,5,1,1,0,0.00449771929703696,0,0.66,2,0.9,0.24
139,1,"[672]",2,1,0.505100022896887,0.494899977103112,0.25,0,6,1,1,0,0.010200045793775,0,0.75,2,0.9,0.15
139,0,"[722.1999999880791]",2,1,0.566411991547703,0.433588008452296,0.22,1,7,1,1,0,0.132823983095407,1,0.78,2,0.9,0.12
139,0,"[555.0999999642372]",2,1,0.584667128310454,0.415332871689546,0.11,1,8,1,1,0,0.169334256620908,1,0.89,2,0.9,0.01
139,0,"[779.8000000119209]",2,0,0.496972507727957,0.503027492272042,0.16,0,9,1,1,0,0.00605498454408504,0,0.84,2,0.9,0.0600000000000001
139,1,"[562.5999999642372]",2,0,0.410670521660641,0.589329478339358,0.17,1,10,1,1,0,0.178658956678717,1,0.83,2,0.9,0.0700000000000001
139,0,"[585.4000000357628]",2,1,0.529113522552077,0.470886477447922,0.16,1,11,1,1,0,0.058227045104155,1,0.84,2,0.9,0.0600000000000001
139,1,"[684.8999999761581]",2,0,0.42871437067757,0.571285629322429,0.09,1,12,1,1,0,0.142571258644859,1,0.91,2,0.9,0.01
139,0,"[512.3000000119209]",2,1,0.546356921906692,0.453643078093307,0.13,1,13,1,1,0,0.092713843813385,1,0.87,2,0.9,0.03
139,0,"[844.1999999880791]",2,0,0.498222229087823,0.501777770912176,0.12,0,14,1,1,0,0.00355554182435303,0,0.88,2,0.9,0.02
139,1,"[552]",2,0,0.41504368387938,0.584956316120619,0.13,1,15,1,1,0,0.169912632241239,1,0.87,2,0.9,0.03
139,1,"[635.8000000119209]",2,0,0.466944938458717,0.533055061541282,0.14,1,16,1,1,0,0.066110123082565,1,0.86,2,0.9,0.04
139,1,"[568.5999999642372]",2,0,0.467422343859585,0.532577656140414,0.13,1,17,1,1,0,0.065155312280829,1,0.87,2,0.9,0.03
139,0,"[692.5999999642372]",2,1,0.587422059113311,0.412577940886688,0.1,1,18,1,1,0,0.174844118226623,1,0.9,2,0.9,0
139,0,"[631.6999999880791]",2,1,0.595600253712052,0.404399746287947,0.1,1,19,1,1,0,0.191200507424105,1,0.9,2,0.9,0
139,1,"[630.7000000476837]",2,0,0.44004907971084,0.559950920289159,0.07,1,20,1,1,0,0.119901840578319,1,0.93,2,0.9,0.03
139,1,"[678.1999999880791]",2,0,0.464171877060632,0.535828122939367,0.07,1,21,1,1,0,0.071656245878735,1,0.93,2,0.9,0.03
139,0,"[590.8999999761581]",2,1,0.550337770679473,0.449662229320526,0.08,1,22,1,1,0,0.100675541358947,1,0.92,2,0.9,0.02
139,0,"[678.6000000238419]",2,0,0.49918296157601,0.500817038423989,0.09,0,23,1,1,0,0.00163407684797895,0,0.91,2,0.9,0.01
139,0,"[745]",2,1,0.538693167186305,0.461306832813694,0.09,1,24,1,1,0,0.077386334372611,1,0.91,2,0.9,0.01
139,0,"[631.1000000238419]",2,1,0.547888957173143,0.452111042826856,0.08,1,25,1,1,0,0.095777914346287,1,0.92,2,0.9,0.02
139,1,"[759.5999999642372]",2,1,0.572796084241355,0.427203915758645,0.5,0,1,2,1,1,0.14559216848271,0,0.5,2,0.9,0.4
139,0,"[613.5]",2,1,0.556738888345253,0.443261111654746,0.77,1,2,2,1,1,0.113477776690507,1,0.77,2,0.9,0.13
139,1,"[495.69999998807907]",2,0,0.402183165333751,0.597816834666248,0.8,1,3,2,1,1,0.195633669332497,1,0.8,2,0.9,0.1
139,0,"[697.2999999523163]",2,1,0.545157884401173,0.454842115598826,0.81,1,4,2,1,1,0.090315768802347,1,0.81,2,0.9,0.09
139,1,"[612.8000000119209]",2,0,0.451571595018623,0.548428404981377,0.88,1,5,2,1,1,0.096856809962754,1,0.88,2,0.9,0.02
139,1,"[581.3000000119209]",2,0,0.443742437306388,0.556257562693611,0.9,1,6,2,1,1,0.112515125387223,1,0.9,2,0.9,0
139,1,"[721.2000000476837]",2,0,0.400018595715417,0.599981404284582,0.91,1,7,2,1,1,0.199962808569165,1,0.91,2,0.9,0.01
139,0,"[537.5]",2,1,0.550589155333916,0.449410844666084,0.92,1,8,2,1,1,0.101178310667832,1,0.92,2,0.9,0.02
139,0,"[965.8999999761581]",2,1,0.582512477911419,0.41748752208858,0.93,1,9,2,1,1,0.165024955822839,1,0.93,2,0.9,0.03
139,0,"[766.3000000119209]",2,1,0.515759509563478,0.484240490436521,0.92,1,10,2,1,1,0.031519019126957,1,0.92,2,0.9,0.02
139,1,"[681.1999999880791]",2,0,0.432526238642343,0.567473761357656,0.91,1,11,2,1,1,0.134947522715313,1,0.91,2,0.9,0.01
139,1,"[938.1000000238419]",2,0,0.494640487868293,0.505359512131706,0.93,1,12,2,1,1,0.010719024263413,1,0.93,2,0.9,0.03
139,1,"[614.5]",2,0,0.457651665181989,0.54234833481801,0.96,1,13,2,1,1,0.084696669636021,1,0.96,2,0.9,0.0599999999999999
139,0,"[636.1999999880791]",2,1,0.561390411712987,0.438609588287012,0.96,1,14,2,1,1,0.122780823425975,1,0.96,2,0.9,0.0599999999999999
139,1,"[549.1000000238419]",2,0,0.460017735842023,0.539982264157976,0.94,1,15,2,1,1,0.079964528315953,1,0.94,2,0.9,0.0399999999999999
139,0,"[627.5]",2,1,0.588546715962015,0.411453284037984,0.95,1,16,2,1,1,0.177093431924031,1,0.95,2,0.9,0.0499999999999999
139,1,"[596.5]",2,0,0.476641759240564,0.523358240759435,0.96,1,17,2,1,1,0.046716481518871,1,0.96,2,0.9,0.0599999999999999
139,0,"[933.5999999642372]",2,0,0.498584423726119,0.50141557627388,0.95,0,18,2,1,1,0.00283115254776101,0,0.95,2,0.9,0.0499999999999999
139,1,"[488.80000001192093]",2,0,0.428606062448102,0.571393937551897,0.94,1,19,2,1,1,0.142787875103795,1,0.94,2,0.9,0.0399999999999999
139,0,"[483.5999999642372]",2,1,0.574693402798468,0.425306597201531,0.96,1,20,2,1,1,0.149386805596937,1,0.96,2,0.9,0.0599999999999999
139,0,"[758.7999999523163]",2,1,0.5183610396928,0.481638960307199,0.95,1,21,2,1,1,0.036722079385601,1,0.95,2,0.9,0.0499999999999999
139,0,"[451.2999999523163]",2,1,0.536942598905623,0.463057401094376,0.94,1,22,2,1,1,0.073885197811247,1,0.94,2,0.9,0.0399999999999999
139,0,"[619.2999999523163]",2,1,0.572518167282053,0.427481832717946,0.96,1,23,2,1,1,0.145036334564107,1,0.96,2,0.9,0.0599999999999999
139,0,"[614.8000000119209]",2,1,0.577488021946065,0.422511978053934,0.96,0,24,2,1,1,0.154976043892131,1,0.96,2,0.9,0.0599999999999999
139,1,"[616.5999999642372]",2,0,0.420787376185104,0.579212623814896,0.94,0,25,2,1,1,0.158425247629792,1,0.94,2,0.9,0.0399999999999999
139,1,"[670]",3,0,0.131820601929138,0.868179398070861,0.5,0,1,3,1,0,0.736358796141723,1,0.5,3,0.7,0.2
139,0,"[563.6000000238419]",3,0,0.0685090053264311,0.931490994673568,0.5,0,2,3,1,0,0.862981989347137,0,0.5,3,0.7,0.2
139,0,"[576]",3,1,0.906826465550381,0.0931735344496182,0.5,1,3,3,1,0,0.813652931100763,1,0.5,3,0.7,0.2
139,1,"[686.1999999880791]",3,0,0.0817020527647144,0.918297947235285,0.5,0,4,3,1,0,0.836595894470571,1,0.5,3,0.7,0.2
139,0,"[433]",3,1,0.921792596187167,0.0782074038128329,0.5,1,5,3,1,0,0.843585192374334,1,0.5,3,0.7,0.2
139,0,"[588.8000000119209]",3,1,0.917793503935703,0.0822064960642969,0.5,0,6,3,1,0,0.835587007871406,1,0.5,3,0.7,0.2
139,1,"[540.3000000119209]",3,1,0.87639133156245,0.123608668437549,0.5,0,7,3,1,0,0.752782663124901,0,0.5,3,0.7,0.2
139,0,"[463]",3,1,0.886739500614767,0.113260499385232,0.5,0,8,3,1,0,0.773479001229535,1,0.5,3,0.7,0.2
139,0,"[379.0999999642372]",3,0,0.090598171689669,0.909401828310331,0.5,0,9,3,1,0,0.818803656620662,0,0.5,3,0.7,0.2
139,1,"[343.30000001192093]",3,0,0.0886772674916583,0.911322732508341,0.5,1,10,3,1,0,0.822645465016683,1,0.5,3,0.7,0.2
139,1,"[372.9000000357628]",3,0,0.121743818651404,0.878256181348595,0.5,0,11,3,1,0,0.756512362697191,1,0.5,3,0.7,0.2
139,0,"[665.3000000119209]",3,0,0.149826695464584,0.850173304535415,0.5,0,12,3,1,0,0.700346609070831,0,0.5,3,0.7,0.2
139,1,"[587.4000000357628]",3,1,0.937381417657529,0.0626185823424704,0.5,0,13,3,1,0,0.874762835315059,0,0.5,3,0.7,0.2
139,0,"[657.1000000238419]",3,1,0.93211516076895,0.0678848392310494,0.5,1,14,3,1,0,0.864230321537901,1,0.5,3,0.7,0.2
139,1,"[833.6999999880791]",3,0,0.0708899286107895,0.92911007138921,0.5,0,15,3,1,0,0.858220142778421,1,0.5,3,0.7,0.2
139,0,"[611.1000000238419]",3,1,0.910099357300774,0.0899006426992253,0.5,1,16,3,1,0,0.820198714601549,1,0.5,3,0.7,0.2
139,1,"[450.19999998807907]",3,0,0.11475819393079,0.885241806069209,0.44,1,17,3,1,0,0.770483612138419,1,0.56,3,0.7,0.14
139,1,"[438.5]",3,0,0.116732401716758,0.883267598283241,0.4,1,18,3,1,0,0.766535196566483,1,0.6,3,0.7,0.1
139,0,"[477.80000001192093]",3,1,0.917697318008194,0.0823026819918056,0.5,0,19,3,1,0,0.835394636016388,1,0.5,3,0.7,0.2
139,0,"[779.8000000119209]",3,1,0.949874806041465,0.0501251939585341,0.41,1,20,3,1,0,0.899749612082931,1,0.59,3,0.7,0.11
139,0,"[480.10000002384186]",3,1,0.859671965713159,0.14032803428684,0.42,0,21,3,1,0,0.719343931426319,1,0.58,3,0.7,0.12
139,1,"[385.60000002384186]",3,0,0.0868972030053424,0.913102796994657,0.43,1,22,3,1,0,0.826205593989315,1,0.57,3,0.7,0.13
139,1,"[514.2999999523163]",3,0,0.0599831506247483,0.940016849375251,0.41,1,23,3,1,0,0.880033698750503,1,0.59,3,0.7,0.11
139,1,"[350.19999998807907]",3,0,0.1059695218083,0.894030478191699,0.39,1,24,3,1,0,0.788060956383399,1,0.61,3,0.7,0.09
139,0,"[394.30000001192093]",3,1,0.888020055262531,0.111979944737468,0.4,0,25,3,1,0,0.776040110525063,1,0.6,3,0.7,0.1
139,0,"[603]",1,1,0.587527127036944,0.412472872963055,0.5,1,1,4,1,0,0.175054254073889,1,0.5,1,0.7,0.2
139,1,"[519.1999999880791]",1,0,0.432606287413801,0.567393712586198,0.5,0,2,4,1,0,0.134787425172397,1,0.5,1,0.7,0.2
139,1,"[568.4000000357628]",1,0,0.453464832702584,0.546535167297415,0.46,1,3,4,1,0,0.0930703345948311,1,0.54,1,0.7,0.16
139,0,"[980.0999999642372]",1,1,0.573955838706332,0.426044161293667,0.48,1,4,4,1,0,0.147911677412665,1,0.52,1,0.7,0.18
139,0,"[716]",1,1,0.566571004261306,0.433428995738693,0.43,1,5,4,1,0,0.133142008522613,1,0.57,1,0.7,0.13
139,1,"[471.60000002384186]",1,0,0.44299515809705,0.557004841902949,0.5,0,6,4,1,0,0.114009683805899,1,0.5,1,0.7,0.2
139,1,"[736.5]",1,1,0.503747055583061,0.496252944416939,0.5,1,7,4,1,0,0.00749411116612198,0,0.5,1,0.7,0.2
139,0,"[618.1000000238419]",1,1,0.509249823548293,0.490750176451706,0.5,1,8,4,1,0,0.018499647096587,1,0.5,1,0.7,0.2
139,0,"[726.9000000357628]",1,1,0.523949302893964,0.476050697106035,0.5,1,9,4,1,0,0.047898605787929,1,0.5,1,0.7,0.2
139,0,"[714.5]",1,1,0.549113146557695,0.450886853442304,0.5,1,10,4,1,0,0.0982262931153911,1,0.5,1,0.7,0.2
139,1,"[636.2999999523163]",1,0,0.473332607527619,0.52666739247238,0.5,1,11,4,1,0,0.053334784944761,1,0.5,1,0.7,0.2
139,1,"[467.69999998807907]",1,0,0.413365362780854,0.586634637219146,0.46,1,12,4,1,0,0.173269274438292,1,0.54,1,0.7,0.16
139,1,"[792.3999999761581]",1,0,0.444218801369272,0.555781198630727,0.5,0,13,4,1,0,0.111562397261455,1,0.5,1,0.7,0.2
139,1,"[587.6000000238419]",1,0,0.453566489841131,0.546433510158868,0.47,1,14,4,1,0,0.092867020317737,1,0.53,1,0.7,0.17
139,1,"[860]",1,0,0.476493230264265,0.523506769735735,0.5,0,15,4,1,0,0.04701353947147,1,0.5,1,0.7,0.2
139,1,"[513.5999999642372]",1,0,0.495637962135994,0.504362037864005,0.5,1,16,4,1,0,0.00872407572801104,1,0.5,1,0.7,0.2
139,0,"[520.3999999761581]",1,1,0.561913533949778,0.438086466050221,0.5,1,17,4,1,0,0.123827067899557,1,0.5,1,0.7,0.2
139,0,"[458.60000002384186]",1,1,0.519062368310994,0.480937631689005,0.5,0,18,4,1,0,0.038124736621989,1,0.5,1,0.7,0.2
139,0,"[639]",1,1,0.592994681030489,0.40700531896951,0.5,1,19,4,1,0,0.185989362060979,1,0.5,1,0.7,0.2
139,0,"[490.0999999642372]",1,1,0.540806528491305,0.459193471508694,0.5,0,20,4,1,0,0.081613056982611,1,0.5,1,0.7,0.2
139,1,"[596.0999999642372]",1,1,0.515903552566447,0.484096447433552,0.5,0,21,4,1,0,0.031807105132895,0,0.5,1,0.7,0.2
139,1,"[616.8000000119209]",1,0,0.417219608129619,0.58278039187038,0.5,1,22,4,1,0,0.165560783740761,1,0.5,1,0.7,0.2
139,1,"[557.6999999880791]",1,0,0.407088876819445,0.592911123180555,0.5,1,23,4,1,0,0.18582224636111,1,0.5,1,0.7,0.2
139,1,"[489.4000000357628]",1,0,0.422058117682323,0.577941882317677,0.5,1,24,4,1,0,0.155883764635354,1,0.5,1,0.7,0.2
139,0,"[506.60000002384186]",1,1,0.550748428162367,0.449251571837633,0.5,0,25,4,1,0,0.101496856324734,1,0.5,1,0.7,0.2
139,0,"[856.1999999880791]",2,0,0.498520809234876,0.501479190765123,0.5,1,1,5,0,1,0.00295838153024702,1,0.5,2,0.9,0.4
139,1,"[991.0999999642372]",2,0,0.451139876299352,0.548860123700647,0.5,0,2,5,0,1,0.097720247401295,0,0.5,2,0.9,0.4
139,0,"[816.5]",2,1,0.515950218869058,0.484049781130941,0.5,0,3,5,0,1,0.031900437738117,0,0.5,2,0.9,0.4
139,0,"[814.6999999880791]",2,0,0.461253037626871,0.538746962373128,0.55,1,4,5,0,1,0.077493924746257,1,0.55,2,0.9,0.35
139,0,"[706.6999999880791]",2,0,0.45579768947615,0.544202310523849,0.55,1,5,5,0,1,0.088404621047699,1,0.55,2,0.9,0.35
139,1,"[664.3000000119209]",2,1,0.569822351589081,0.430177648410919,0.57,1,6,5,0,1,0.139644703178162,1,0.57,2,0.9,0.33
139,0,"[522.8999999761581]",2,0,0.410440482516978,0.589559517483021,0.57,1,7,5,0,1,0.179119034966043,1,0.57,2,0.9,0.33
139,0,"[679.8999999761581]",2,0,0.48476280500089,0.515237194999109,0.67,1,8,5,0,1,0.0304743899982191,1,0.67,2,0.9,0.23
139,1,"[587.6999999880791]",2,1,0.544561132059531,0.455438867940468,0.69,1,9,5,0,1,0.089122264119063,1,0.69,2,0.9,0.21
139,0,"[661.4000000357628]",2,0,0.454672290436416,0.545327709563583,0.69,1,10,5,0,1,0.090655419127167,1,0.69,2,0.9,0.21
139,1,"[455.89999997615814]",2,1,0.593287886269678,0.406712113730321,0.73,1,11,5,0,1,0.186575772539357,1,0.73,2,0.9,0.17
139,1,"[631.1000000238419]",2,1,0.532641413372946,0.467358586627053,0.78,1,12,5,0,1,0.065282826745893,1,0.78,2,0.9,0.12
139,0,"[508.30000001192093]",2,0,0.443693361548589,0.55630663845141,0.81,1,13,5,0,1,0.112613276902821,1,0.81,2,0.9,0.09
139,1,"[894.8000000119209]",2,1,0.501869538082274,0.498130461917725,0.88,1,14,5,0,1,0.00373907616454899,1,0.88,2,0.9,0.02
139,0,"[428.5999999642372]",2,0,0.421145646143474,0.578854353856525,0.92,1,15,5,0,1,0.157708707713051,1,0.92,2,0.9,0.02
139,0,"[833.5999999642372]",2,1,0.512479438497693,0.487520561502306,0.89,0,16,5,0,1,0.024958876995387,0,0.89,2,0.9,0.01
139,0,"[615.9000000357628]",2,0,0.419123507716784,0.580876492283215,0.91,1,17,5,0,1,0.161752984566431,1,0.91,2,0.9,0.01
139,1,"[598.8999999761581]",2,1,0.53466494640895,0.465335053591049,0.9,1,18,5,0,1,0.069329892817901,1,0.9,2,0.9,0
139,1,"[870.8999999761581]",2,1,0.502411692515032,0.497588307484967,0.92,1,19,5,0,1,0.00482338503006502,1,0.92,2,0.9,0.02
