ID	choice	rt	condition_int	state	contrast_left	contrast_right	reward	trials	blocks	contrast	ecoperf
87	1	425.19999999972	3	0	0.185338786355424	0.814661213644575	1	1	1	1	1
87	0	397.900000000372	3	0	0.127977002355875	0.872022997644124	1	2	1	1	0
87	1	450.400000000372	3	1	0.843311636524128	0.156688363475871	0	3	1	1	0
87	0	391.5	3	1	0.823265503400101	0.176734496599898	0	4	1	1	1
87	0	520.600000000093	3	0	0.178220934668358	0.821779065331641	1	5	1	1	0
87	1	338.100000000093	3	0	0.126934231745173	0.873065768254826	1	6	1	1	1
87	0	349.300000000279	3	0	0.160333463454067	0.839666536545932	1	7	1	1	0
87	0	484.69999999972	3	1	0.839677838454076	0.160322161545923	0	8	1	1	1
87	1	381.100000000093	3	1	0.843625807331848	0.156374192668151	0	9	1	1	0
87	1	400.5	3	1	0.851446211999655	0.148553788000344	0	10	1	1	0
87	0	669.899999999906	3	1	0.819288731311061	0.180711268688938	0	11	1	1	1
87	0	530.5	3	0	0.127064376455168	0.872935623544831	1	12	1	1	0
87	0	347.19999999972	3	0	0.199731863290974	0.800268136709025	1	13	1	1	0
87	0	360.700000000186	3	1	0.829616610686487	0.170383389313512	0	14	1	1	1
87	1	377.600000000093	3	1	0.824996375371255	0.175003624628744	0	15	1	1	0
87	1	529.399999999906	3	1	0.857511355027336	0.142488644972664	0	16	1	1	0
87	1	368.700000000186	3	1	0.844589600315665	0.155410399684334	0	17	1	1	0
87	1	367.100000000093	3	1	0.876318690874449	0.12368130912555	0	18	1	1	0
87	1	406.69999999972	3	0	0.157302084482859	0.84269791551714	1	19	1	1	1
87	0	347.5	3	0	0.194871944671432	0.805128055328567	1	20	1	1	0
87	1	357	3	0	0.177608824989827	0.822391175010172	1	21	1	1	1
87	1	388.600000000093	3	1	0.858189448639003	0.141810551360996	0	22	1	1	0
87	1	365.799999999813	3	0	0.160110049330366	0.839889950669633	1	23	1	1	1
87	0	350.19999999972	3	0	0.137085047243583	0.862914952756416	1	24	1	1	0
87	1	364.100000000093	3	1	0.872425378009893	0.127574621990106	0	25	1	1	0
87	0	448.19999999972	2	0	0.490924908037408	0.509075091962591	0	1	2	0	1
87	1	505.299999999813	2	1	0.545806840853951	0.454193159146048	1	2	2	0	1
87	1	407.299999999813	2	1	0.551264856622625	0.448735143377374	1	3	2	0	1
87	0	497.400000000372	2	0	0.490530775456287	0.509469224543712	0	4	2	0	1
87	0	537.700000000186	2	0	0.435996880179501	0.564003119820498	0	5	2	0	1
87	1	396.899999999906	2	0	0.467918694460093	0.532081305539906	0	6	2	0	0
87	1	778.69999999972	2	1	0.520880536165693	0.479119463834307	1	7	2	0	1
87	0	415.800000000279	2	0	0.454220807180742	0.545779192819258	0	8	2	0	1
87	1	769.5	2	1	0.516154366615413	0.483845633384586	1	9	2	0	1
87	1	536.600000000093	2	1	0.55902359853732	0.440976401462679	1	10	2	0	1
87	1	615.69999999972	2	1	0.540293694124751	0.459706305875248	1	11	2	0	1
87	0	394.5	2	0	0.491634024127006	0.508365975872993	0	12	2	0	1
