ID	choice	rt	condition_int	state	contrast_left	contrast_right	reward	trials	blocks	contrast	ecoperf
33	0	649	2	0	0.475652271297415	0.524347728702584	0	1	1	0	1
33	1	588	2	0	0.499538983027513	0.500461016972486	0	2	1	0	0
33	0	880	2	0	0.474148687860996	0.525851312139003	0	3	1	0	1
33	1	574	2	1	0.545475783845606	0.454524216154393	1	4	1	0	1
33	1	480	2	1	0.546140403455675	0.453859596544324	1	5	1	0	1
33	1	399	2	1	0.549446937476783	0.450553062523216	1	6	1	0	1
33	0	445	2	0	0.420911132807502	0.579088867192497	0	7	1	0	1
33	1	464	2	1	0.516239256913157	0.483760743086842	1	8	1	0	1
33	0	587	2	0	0.461661656171253	0.538338343828746	0	9	1	0	1
33	1	394	2	1	0.565059566071682	0.434940433928317	1	10	1	0	1
33	0	670	2	0	0.460550889975313	0.539449110024686	0	11	1	0	1
33	1	404	2	1	0.558384415934917	0.441615584065082	1	12	1	0	1
33	0	453	2	0	0.438350705128346	0.561649294871653	0	13	1	0	1
33	1	363	2	1	0.519341548698519	0.48065845130148	1	14	1	0	1
33	1	429	2	1	0.502810012418561	0.497189987581438	1	15	1	0	1
33	0	453	2	0	0.453177128065507	0.546822871934492	0	16	1	0	1
33	0	447	2	0	0.458734841466238	0.541265158533761	0	17	1	0	1
33	0	781	2	1	0.503425341409015	0.496574658590984	1	18	1	0	0
33	0	451	2	0	0.423208027649873	0.576791972350126	0	19	1	0	1
33	1	497	2	1	0.503854905243545	0.496145094756454	1	20	1	0	1
33	0	959	2	1	0.507894496174472	0.492105503825527	1	21	1	0	0
33	0	448	2	0	0.430699598894703	0.569300401105296	0	22	1	0	1
33	0	451	2	0	0.448763226763151	0.551236773236848	0	23	1	0	1
33	0	446	2	0	0.459693452470517	0.540306547529482	0	24	1	0	1
33	1	461	2	1	0.516919487004521	0.483080512995479	1	25	1	0	1
33	1	465	1	1	0.565876519177829	0.43412348082217	0	1	2	1	0
33	0	435	1	1	0.558400396830063	0.441599603169936	0	2	2	1	1
33	0	501	1	1	0.512890152279496	0.487109847720503	0	3	2	1	1
33	0	449	1	1	0.545830664616457	0.454169335383542	0	4	2	1	1
33	1	424	1	1	0.557243826581845	0.442756173418154	0	5	2	1	0
33	1	408	1	1	0.550525777489921	0.449474222510078	0	6	2	1	0
33	1	406	1	0	0.469971051565047	0.530028948434952	1	7	2	1	1
33	1	612	1	0	0.437264298159598	0.562735701840401	1	8	2	1	1
33	1	557	1	0	0.429501123637134	0.570498876362865	1	9	2	1	1
33	1	484	1	0	0.463970646298656	0.536029353701343	1	10	2	1	1
33	1	553	1	0	0.455215585991472	0.544784414008527	1	11	2	1	1
33	0	708	1	1	0.525991076853195	0.474008923146804	0	12	2	1	1
