ID	choice	rt	choice_cond	state	contrast_left	contrast_right	mu	correct	trials	blocks	contrast	congruence	con_diff_choice	ecoperf
181	0	[425.5]	3	0	0.130288216815934	0.869711783184066	100	1	1	1	0	1	0.739423566368132	1
181	1	[333.29999999701977]	3	1	0.945488876378678	0.0545111236213215	100	1	2	1	0	1	0.890977752757356	1
181	1	[365.8999999910593]	3	1	0.850186553294842	0.149813446705157	100	1	3	1	0	1	0.700373106589685	1
181	1	[435.5]	3	1	0.940034879113396	0.0599651208866039	100	1	4	1	0	1	0.880069758226792	1
181	0	[342.5]	3	0	0.0984917354837253	0.901508264516274	100	1	5	1	0	1	0.803016529032549	1
181	1	[406.8999999910593]	3	1	0.914263012952492	0.0857369870475079	100	1	6	1	0	1	0.828526025904984	1
181	0	[339.20000000298023]	3	0	0.134361994981001	0.865638005018998	90	0	7	1	0	1	0.731276010037997	1
181	0	[339.20000000298023]	3	0	0.051108401344809	0.94889159865519	93	1	8	1	0	1	0.897783197310381	1
181	1	[321.09999999403954]	3	1	0.86313034243584	0.136869657564159	89	0	9	1	0	1	0.726260684871681	1
181	1	[398.1000000089407]	3	1	0.88367008517842	0.116329914821579	90	1	10	1	0	1	0.767340170356841	1
181	0	[425.90000000596046]	3	0	0.118450725361132	0.881549274638867	88	0	11	1	0	1	0.763098549277735	1
181	0	[390.79999999701977]	3	0	0.0533299984854744	0.946670001514525	89	1	12	1	0	1	0.893340003029051	1
181	1	[314.09999999403954]	3	1	0.875247167381928	0.124752832618072	84	0	13	1	0	1	0.750494334763856	1
181	0	[321.69999998807907]	3	0	0.0500505480927403	0.949949451907259	89	1	14	1	0	1	0.899898903814519	1
181	1	[329.69999998807907]	3	1	0.918452941614244	0.0815470583857555	89	1	15	1	0	1	0.836905883228488	1
181	1	[396]	3	1	0.93456913788743	0.0654308621125693	90	1	16	1	0	1	0.869138275774861	1
181	0	[310.8999999910593]	3	0	0.0723124063742888	0.927687593625711	90	1	17	1	0	1	0.855375187251422	1
181	0	[366.5]	3	0	0.103420834691498	0.896579165308502	93	1	18	1	0	1	0.793158330617004	1
181	0	[396.70000000298023]	3	0	0.115306795711585	0.884693204288414	82	0	19	1	0	1	0.769386408576829	1
181	1	[553.7999999970198]	3	1	0.900100346639967	0.099899653360033	84	0	20	1	0	1	0.800200693279934	1
181	1	[352.29999999701977]	3	1	0.921738452500748	0.0782615474992513	85	1	21	1	0	1	0.843476905001497	1
181	0	[476.70000000298023]	3	0	0.0599132797927495	0.94008672020725	88	1	22	1	0	1	0.880173440414501	1
181	0	[365.29999999701977]	3	0	0.126141672402835	0.873858327597164	84	0	23	1	0	1	0.747716655194329	1
181	1	[380.79999999701977]	3	1	0.926577354945244	0.0734226450547557	81	0	24	1	0	1	0.853154709890488	1
181	0	[291.5]	3	0	0.0761487038844927	0.923851296115507	83	1	25	1	0	1	0.847702592231014	1
181	0	[312.59999999403954]	3	0	0.0947723295861809	0.905227670413819	0	1	1	2	0	0	0.810455340827638	1
181	1	[393.6000000089407]	3	1	0.893125481170899	0.1068745188291	0	1	2	2	0	0	0.786250962341799	1
181	0	[393.59999999403954]	3	0	0.0871453197638016	0.912854680236198	0	1	3	2	0	0	0.825709360472396	1
181	1	[399.80000001192093]	3	1	0.907320650098796	0.0926793499012033	0	1	4	2	0	0	0.814641300197593	1
181	1	[324.6000000089407]	3	1	0.852759513758468	0.147240486241531	0	1	5	2	0	0	0.705519027516937	1
181	1	[338.6000000089407]	3	1	0.927765111007055	0.0722348889929445	0	1	6	2	0	0	0.855530222014111	1
181	0	[918.7000000029802]	3	0	0.0946227991138147	0.905377200886185	3	0	7	2	0	0	0.81075440177237	1
181	0	[297.59999999403954]	3	0	0.130284601108145	0.869715398891854	9	1	8	2	0	0	0.739430797783709	1
181	1	[447]	3	1	0.889092777468459	0.11090722253154	8	0	9	2	0	0	0.778185554936919	1
181	1	[361.40000000596046]	3	1	0.905553402362359	0.0944465976376407	7	1	10	2	0	0	0.811106804724718	1
181	0	[331.20000000298023]	3	0	0.062350534914517	0.937649465085483	7	0	11	2	0	0	0.875298930170966	1
181	0	[323.3999999910593]	3	0	0.0507192559770191	0.94928074402298	8	1	12	2	0	0	0.898561488045961	1
181	1	[547]	3	1	0.879436484960414	0.120563515039585	9	0	13	2	0	0	0.758872969920829	1
181	0	[452.40000000596046]	3	0	0.103049657366247	0.896950342633753	10	1	14	2	0	0	0.793900685267506	1
181	0	[395.19999998807907]	3	0	0.141463829888422	0.858536170111577	6	1	15	2	0	0	0.717072340223155	1
181	1	[422.70000000298023]	3	1	0.85650332557508	0.143496674424919	3	1	16	2	0	0	0.713006651150161	1
181	0	[395.09999999403954]	3	0	0.0938744728836062	0.906125527116393	3	1	17	2	0	0	0.812251054232787	1
181	0	[432.20000000298023,523.8999999910593]	3	0	0.0531252909902088	0.946874709009791	0	0	18	2	0	0	0.893749418019582	1
181	1	[420.6000000089407]	3	1	0.905376648417265	0.0946233515827345	2	1	19	2	0	0	0.81075329683453	1
181	1	[457.09999999403954]	3	1	0.938835816395408	0.061164183604591	5	0	20	2	0	0	0.877671632790817	1
181	1	[363]	3	1	0.901944385949651	0.0980556140503483	4	1	21	2	0	0	0.803888771899303	1
181	0	[682.0999999940395]	3	0	0.0619139847314642	0.938086015268535	4	1	22	2	0	0	0.876172030537071	1
181	1	[783]	3	1	0.853539330677167	0.146460669322832	7	0	23	2	0	0	0.707078661354335	1
181	0	[316.20000000298023]	3	0	0.127853951614484	0.872146048385515	8	0	24	2	0	0	0.744292096771031	1
181	0	[346.20000000298023]	3	0	0.0839035224421768	0.916096477557823	4	1	25	2	0	0	0.832192955115646	1
181	0	[354.29999999701977]	2	0	0.421759766509149	0.578240233490851	0	0	1	3	1	0	0.156480466981702	0
181	0	[372.90000000596046]	2	1	0.539034500559549	0.46096549944045	0	1	2	3	1	0	0.078069001119099	1
181	0	[636.0999999940395]	2	0	0.45948766228105	0.540512337718949	0	0	3	3	1	0	0.081024675437899	0
181	0	[859.6000000089407]	2	1	0.501470327023635	0.498529672976364	0	1	4	3	1	0	0.00294065404727101	1
181	0	[518.3999999910593]	2	1	0.504223138898239	0.49577686110176	0	1	5	3	1	0	0.008446277796479	1
181	0	[579,733.7000000029802]	2	1	0.559538108920761	0.440461891079238	3	1	6	3	1	0	0.119076217841523	1
181	0	[377.3999999910593]	2	1	0.511185795722071	0.488814204277929	3	1	7	3	1	0	0.022371591444142	1
181	0	[487.5]	2	1	0.503579694679117	0.496420305320882	2	1	8	3	1	0	0.00715938935823501	1
181	0	[409.20000000298023]	2	1	0.521643223002925	0.478356776997074	1	1	9	3	1	0	0.043286446005851	1
181	0	[391.79999999701977]	2	0	0.414854146180579	0.58514585381942	0	0	10	3	1	0	0.170291707638841	0
181	0	[379.29999999701977]	2	1	0.538113539711926	0.461886460288073	0	1	11	3	1	0	0.076227079423853	1
181	0	[482.80000001192093]	2	1	0.594132014710111	0.405867985289888	2	1	12	3	1	0	0.188264029420223	1
181	1	[424.70000000298023]	2	0	0.439415204038801	0.560584795961198	1	1	13	3	1	0	0.121169591922397	1
181	1	[664.7000000029802]	2	0	0.455990852196395	0.544009147803604	2	1	14	3	1	0	0.088018295607209	1
181	0	[473.20000000298023]	2	0	0.463984349765396	0.536015650234603	2	0	15	3	1	0	0.072031300469207	0
181	1	[456.5]	2	0	0.469361407916999	0.530638592083001	0	1	16	3	1	0	0.061277184166002	1
181	0	[618]	2	1	0.589117025886624	0.410882974113375	1	1	17	3	1	0	0.178234051773249	1
181	1	[484.20000000298023]	2	0	0.437851455311002	0.562148544688997	1	1	18	3	1	0	0.124297089377995	1
181	1	[365.29999999701977]	2	0	0.415323110110974	0.584676889889025	2	1	19	3	1	0	0.169353779778051	1
181	0	[834.4000000059605]	2	1	0.545053246083677	0.454946753916322	0	1	20	3	1	0	0.090106492167355	1
181	0	[735.1000000089407]	2	0	0.48516591258417	0.514834087415829	3	0	21	3	1	0	0.029668174831659	0
181	0	[601.7999999970198]	2	1	0.522348219919917	0.477651780080082	2	1	22	3	1	0	0.044696439839835	1
181	1	[581.5]	2	0	0.402859614993592	0.597140385006407	1	1	23	3	1	0	0.194280770012815	1
181	1	[837.7999999970198]	2	0	0.476078367077316	0.523921632922683	2	1	24	3	1	0	0.047843265845367	1
181	1	[498.40000000596046]	2	0	0.483583343793345	0.516416656206654	0	1	25	3	1	0	0.032833312413309	1
181	1	[505.8999999910593]	2	0	0.456438948291668	0.543561051708331	0	0	1	4	0	0	0.087122103416663	0
181	0	[528.9000000059605]	2	0	0.496560441943991	0.503439558056008	0	1	2	4	0	0	0.00687911611201703	1
181	0	[421]	2	1	0.574323580835799	0.4256764191642	0	0	3	4	0	0	0.148647161671599	0
181	1	[916.0999999940395]	2	1	0.532898594313362	0.467101405686637	0	1	4	4	0	0	0.065797188626725	1
