ID	choice	rt	condition_int	state	contrast_left	contrast_right	reward	trials	blocks	contrast	ecoperf
21	0	805.534999992232	2	1	0.569980342697867	0.430019657302133	0	1	1	0	0
21	0	575.049999984912	2	0	0.447929895033919	0.55207010496608	1	2	1	0	1
21	0	589.849999989382	2	0	0.477808029403187	0.522191970596812	1	3	1	0	1
21	1	659.73999997368	2	1	0.55221852542735	0.447781474572649	0	4	1	0	1
21	0	684.094999975059	2	0	0.493203715892346	0.506796284107653	1	5	1	0	1
21	0	569.459999969694	2	0	0.484029851024455	0.515970148975544	1	6	1	0	1
21	0	496.425000019371	2	0	0.489964132058624	0.510035867941375	1	7	1	0	1
21	0	843.460000003688	2	0	0.465156350267316	0.534843649732683	1	8	1	0	1
21	1	943.865000037476	2	1	0.55421753772035	0.445782462279649	0	9	1	0	1
21	0	433.915000001434	2	0	0.471438299171465	0.528561700828534	1	10	1	0	1
21	0	458.060000033583	2	1	0.530681928835678	0.469318071164321	0	11	1	0	0
21	0	520.03000001423	2	0	0.471623004806033	0.528376995193966	1	12	1	0	1
21	1	732.179999991785	2	1	0.545710719427066	0.454289280572933	0	13	1	0	1
21	0	558.309999993071	2	0	0.471445241716029	0.52855475828397	1	14	1	0	1
21	0	574.094999989029	2	0	0.475506234440167	0.524493765559832	1	15	1	0	1
21	0	524.060000025201	2	1	0.519203321056276	0.480796678943723	0	16	1	0	0
21	0	874.009999970439	2	1	0.554856835730474	0.445143164269525	0	17	1	0	0
21	0	633.049999945797	2	1	0.524981001505186	0.475018998494813	0	18	1	0	0
21	0	519.359999976586	2	0	0.455537772840205	0.544462227159794	1	19	1	0	1
21	0	526.864999963436	2	0	0.452903655432505	0.547096344567494	1	20	1	0	1
21	0	438.460000033956	2	0	0.44202153375564	0.557978466244359	1	21	1	0	1
21	0	451.984999992419	2	1	0.511837352557158	0.488162647442841	0	22	1	0	0
21	0	516.634999949019	2	1	0.512234738049975	0.487765261950024	0	23	1	0	0
21	0	525.735000032	2	1	0.507865420428098	0.492134579571902	0	24	1	0	0
21	0	812.524999957531	2	NaN	0.500859061267341	0.499140938732658	NaN	25	1	0	0
21	1	778.489999996963	2	1	0.57034372207074	0.429656277929259	0	1	2	1	0
21	1	474.609999975655	2	0	0.460451397644863	0.539548602355136	1	2	2	1	1
21	1	905.374999972991	2	0	0.497173295863352	0.502826704136647	1	3	2	1	1
21	0	985.404999984894	2	1	0.517622254486419	0.482377745513581	0	4	2	1	1
21	1	472.009999968577	2	0	0.431855296324906	0.568144703675093	1	5	2	1	1
21	1	484.175000048708	2	0	0.428569517392873	0.571430482607126	1	6	2	1	1
21	1	460.495000006631	2	0	0.481932468141449	0.51806753185855	1	7	2	1	1
21	1	508.135000010952	2	0	0.475176729478933	0.524823270521066	1	8	2	1	1
21	1	931.745000008959	2	1	0.539689388638127	0.460310611361872	0	9	2	1	0
21	1	490.240000013727	2	0	0.46449358232087	0.535506417679129	1	10	2	1	1
21	1	442.855000030249	2	1	0.519498746954713	0.480501253045286	0	11	2	1	0
21	1	576.040000014472	2	0	0.484114127054114	0.515885872945886	1	12	2	1	1
21	1	629.695000010542	2	1	0.503271178946717	0.496728821053282	0	13	2	1	0
21	1	526.215000019874	2	0	0.465406125413885	0.534593874586114	1	14	2	1	1
21	1	548.950000025797	2	0	0.47609203488651	0.523907965113489	1	15	2	1	1
21	1	501.549999986309	2	1	0.515392332801619	0.48460766719838	0	16	2	1	0
21	0	260.914999991655	2	1	0.520839307329179	0.47916069267082	0	17	2	1	1
21	1	330.514999979641	2	1	0.51468092311469	0.485319076885309	0	18	2	1	0
21	0	339.179999951738	2	0	0.450322323343303	0.549677676656696	1	19	2	1	0
21	1	167.179999989457	2	0	0.490830094119694	0.509169905880305	1	20	2	1	1
21	1	520.92999999877	2	0	0.49402252620562	0.505977473794379	1	21	2	1	1
21	0	601.254999986849	2	1	0.544922419666656	0.455077580333343	0	22	2	1	1
21	1	950.554999988526	2	1	0.505583071215463	0.494416928784536	0	23	2	1	0
21	1	476.729999994859	2	1	0.523087452351559	0.47691254764844	0	24	2	1	0
21	0	260.699999984353	2	NaN	0.539950837957435	0.460049162042564	NaN	25	2	1	1
21	0	788.784999982453	1	1	0.509736340309713	0.490263659690287	0	1	3	1	1
21	0	536.540000000968	1	0	0.486859851003757	0.513140148996242	1	2	3	1	0
21	0	541.16999998223	1	0	0.46484985609989	0.535150143900109	1	3	3	1	0
21	1	668.249999987892	1	1	0.507883970860306	0.492116029139693	0	4	3	1	0
21	0	443.854999961331	1	0	0.450398282705793	0.549601717294206	1	5	3	1	0
21	1	169.085000001359	1	0	0.439184086513623	0.560815913486376	1	6	3	1	1
21	0	763.215000042691	1	0	0.424132287906342	0.575867712093657	1	7	3	1	0
21	1	384.930000000167	1	1	0.569105102218713	0.430894897781286	0	8	3	1	0
21	0	501.645000011194	1	0	0.453924424520995	0.546075575479004	1	9	3	1	0
21	1	500.34000002779	1	1	0.558805199172551	0.441194800827448	0	10	3	1	0
21	0	524.825000029522	1	0	0.498960496636538	0.501039503363461	1	11	3	1	0
21	0	276.955000008456	1	1	0.546388624494561	0.453611375505438	0	12	3	1	1
21	0	409.434999979566	1	0	0.45234092770617	0.547659072293829	1	13	3	1	0
21	0	448.290000029373	1	0	0.486851378935516	0.513148621064483	1	14	3	1	0
21	1	509.080000047106	1	1	0.523358516401788	0.476641483598211	0	15	3	1	0
21	0	589.024999993853	1	1	0.559800040318169	0.44019995968183	0	16	3	1	1
21	0	523.155000002589	1	1	0.519611046605328	0.480388953394671	0	17	3	1	1
21	1	305.725000042002	1	0	0.48168726224381	0.518312737756189	1	18	3	1	1
21	0	275.410000002011	1	0	0.442814843157391	0.557185156842608	1	19	3	1	0
21	1	286.019999999552	1	1	0.573817371141727	0.426182628858272	0	20	3	1	0
21	0	388.924999977462	1	0	0.447965679030741	0.552034320969258	1	21	3	1	0
21	0	372.325000003911	1	1	0.528442725476101	0.471557274523898	0	22	3	1	1
21	0	602.639999997336	1	1	0.532312711668155	0.467687288331844	0	23	3	1	1
21	1	606.865000037942	1	1	0.541871258974736	0.458128741025263	0	24	3	1	0
21	0	343.759999959729	1	NaN	0.498284231672223	0.501715768327776	NaN	25	3	1	1
21	1	339.625000022351	4	0	0.182976134736457	0.817023865263542	1	1	4	1	1
21	1	433.814999996684	4	0	0.132174224687524	0.867825775312475	1	2	4	1	1
21	0	403.504999994765	4	1	0.87487020495912	0.125129795040879	0	3	4	1	1
21	1	457.445000007282	4	0	0.156653020239164	0.843346979760836	1	4	4	1	1
21	1	373.924999963492	4	0	0.196437343890829	0.803562656109171	1	5	4	1	1
21	1	357.130000018514	4	0	0.186052716469492	0.813947283530507	1	6	4	1	1
21	1	381.035000027623	4	0	0.160950228154745	0.839049771845254	1	7	4	1	1
21	0	347.884999995585	4	1	0.811509451437839	0.18849054856216	0	8	4	1	1
21	1	295.074999972712	4	0	0.120197435896703	0.879802564103296	1	9	4	1	1
21	0	374.764999956823	4	1	0.84661171620209	0.153388283797909	0	10	4	1	1
21	1	316.504999995231	4	0	0.171571208855387	0.828428791144612	1	11	4	1	1
21	0	341.134999995119	4	1	0.803591844861091	0.196408155138908	0	12	4	1	1
21	1	361.525000014808	4	0	0.195698693851788	0.804301306148211	1	13	4	1	1
21	1	464.545000053476	4	0	0.132371586517638	0.867628413482361	1	14	4	1	1
21	0	337.630000023636	4	1	0.87322304963988	0.12677695036012	0	15	4	1	1
21	1	413.144999998621	4	1	0.81665253611503	0.183347463884969	0	16	4	1	0
21	0	379.584999987855	4	1	0.8428748544368	0.157125145563199	0	17	4	1	1
21	1	313.254999986384	4	0	0.138469434059317	0.861530565940682	1	18	4	1	1
21	1	359.64000003878	4	0	0.126705957925424	0.873294042074575	1	19	4	1	1
21	0	352.364999998826	4	1	0.820506386158731	0.179493613841268	0	20	4	1	1
21	1	286.969999957364	4	0	0.14964608230474	0.850353917695259	1	21	4	1	1
21	0	336.614999978337	4	1	0.814284145346225	0.185715854653774	0	22	4	1	1
21	0	430.200000002514	4	1	0.812573293273992	0.187426706726007	0	23	4	1	1
21	0	307.815000007394	4	1	0.810249883132809	0.18975011686719	0	24	4	1	1
21	0	369.765000010374	4	NaN	0.806552962898587	0.193447037101412	NaN	25	4	1	1
21	0	389.604999974835	3	1	0.806364832992936	0.193635167007064	0	1	5	1	1
21	1	314.050000044517	3	0	0.163153340761425	0.836846659238574	1	2	5	1	1
21	1	359.929999976884	3	0	0.159919737650683	0.840080262349316	1	3	5	1	1
21	0	328.090000024531	3	1	0.871447706857073	0.128552293142927	0	4	5	1	1
21	1	334.774999995715	3	0	0.188476555347512	0.811523444652487	1	5	5	1	1
21	1	324.179999995976	3	0	0.143046288117995	0.856953711882004	1	6	5	1	1
21	1	327.965000004041	3	0	0.139232947199426	0.860767052800573	1	7	5	1	1
21	1	366.819999995641	3	0	0.179556596675081	0.820443403324918	1	8	5	1	1
21	0	365.864999999757	3	1	0.823344953420317	0.176655046579682	0	9	5	1	1
21	0	358.080000034533	3	0	0.19636506082473	0.803634939175269	1	10	5	1	0
21	1	385.239999974146	3	1	0.878011267456589	0.12198873254341	0	11	5	1	0
21	0	177.644999988842	3	0	0.160997825220399	0.8390021747796	1	12	5	1	0
21	0	393.579999974463	3	1	0.836830807301493	0.163169192698506	0	13	5	1	1
21	0	582.330000004731	3	0	0.17855443290276	0.821445567097239	1	14	5	1	0
21	1	282.460000016726	3	0	0.178278784341179	0.82172121565882	1	15	5	1	1
21	0	943.290000024717	3	1	0.845851979986147	0.154148020013852	0	16	5	1	1
21	1	284.075000032316	3	1	0.84227520642857	0.157724793571429	0	17	5	1	0
21	0	363.439999986439	3	1	0.846180377238318	0.153819622761681	0	18	5	1	1
21	1	281.605000025592	3	0	0.131109792852658	0.868890207147341	1	19	5	1	1
21	0	469.324999954551	3	0	0.140355729513232	0.859644270486768	1	20	5	1	0
21	1	440.270000020973	3	1	0.846555184957758	0.153444815042241	0	21	5	1	0
21	0	292.739999946206	3	0	0.166699125793374	0.833300874206625	1	22	5	1	0
21	0	283.464999985881	3	1	0.876692981310051	0.123307018689948	0	23	5	1	1
21	1	270.420000015292	3	1	0.802955736273494	0.197044263726506	0	24	5	1	0
21	0	470.61499999836	3	1	0.813030756327353	0.186969243672646	0	25	5	1	1
21	0	405.670000007376	3	1	0.848831145633878	0.151168854366121	0	1	6	0	0
21	0	404.575000051409	3	0	0.197547991791466	0.802452008208533	1	2	6	0	1
21	1	385.790000029373	3	0	0.130342133249704	0.869657866750296	1	3	6	0	0
21	1	381.144999992102	3	1	0.869439344668615	0.130560655331384	0	4	6	0	1
21	0	365.014999988488	3	0	0.149877935673656	0.850122064326343	1	5	6	0	1
21	0	298.139999969862	3	0	0.124981761365786	0.875018238634213	1	6	6	0	1
21	1	272.289999993518	3	0	0.167039747840886	0.832960252159113	1	7	6	0	0
21	0	392.644999956246	3	0	0.123784662091029	0.87621533790897	1	8	6	0	1
21	1	310.819999955128	3	1	0.803673072507684	0.196326927492315	0	9	6	0	1
21	0	311.449999979231	3	0	0.134699775309793	0.865300224690206	1	10	6	0	1
21	0	293.760000029578	3	1	0.846123158608525	0.153876841391474	0	11	6	0	0
21	1	370.270000013988	3	0	0.187984861326325	0.812015138673674	1	12	6	0	0
21	0	268.129999982193	3	1	0.865142236738687	0.134857763261312	0	13	6	0	0
21	0	242.044999962672	3	0	0.128952780566131	0.871047219433868	1	14	6	0	1
21	1	288.29500003485	3	0	0.183476305298567	0.816523694701432	1	15	6	0	0
21	0	433.550000016111	3	1	0.861525183444729	0.13847481655527	0	16	6	0	0
21	1	287.620000017341	3	1	0.859813010118734	0.140186989881266	0	17	6	0	1
21	0	311.760000011418	3	1	0.87955513496244	0.120444865037559	0	18	6	0	0
21	0	306.184999994002	3	0	0.146326104022332	0.853673895977667	1	19	6	0	1
21	1	389.044999959878	3	0	0.18148546630247	0.818514533697529	1	20	6	0	0
21	1	410.119999956805	3	1	0.859046661110762	0.140953338889237	0	21	6	0	1
21	1	314.030000008642	3	0	0.132879145779483	0.867120854220517	1	22	6	0	0
21	0	44.4099999731406	3	1	0.817778889429993	0.182221110570006	0	23	6	0	0
21	1	566.985000041313	3	1	0.852473809354767	0.147526190645232	0	24	6	0	1
21	0	568.304999964311	3	1	0.833238277037521	0.166761722962478	0	25	6	0	0
21	1	379.049999988637	4	1	0.858145422624454	0.141854577375545	0	1	7	0	1
21	0	263.979999988805	4	0	0.137872208710314	0.862127791289685	1	2	7	0	1
21	1	358.225000032689	4	0	0.123129630429299	0.8768703695707	1	3	7	0	0
21	0	326.195000030566	4	1	0.873965138178759	0.12603486182124	0	4	7	0	0
21	0	385.01000002725	4	0	0.161864236714997	0.838135763285002	1	5	7	0	1
21	1	255.629999970551	4	0	0.190765462339072	0.809234537660928	1	6	7	0	0
21	0	376.734999998006	4	0	0.189596831545016	0.810403168454983	1	7	7	0	1
21	1	275.039999978616	4	0	0.157100594434664	0.842899405565335	1	8	7	0	0
21	0	240.705000003799	4	1	0.876743816047916	0.123256183952083	0	9	7	0	0
21	1	301.135000016074	4	0	0.174582692888527	0.825417307111472	1	10	7	0	0
