ID	choice	rt	choice_cond	state	contrast_left	contrast_right	mu	correct	trials	blocks	contrast	congruence	con_diff_choice	ecoperf
420	0	[771.5]	1	1	0.551221073552084	0.448778926447915	97	0	1	1	0	1	0.102442147104169	0
420	0	[748.9000000357628]	1	1	0.574047869991179	0.42595213000882	5	1	2	1	0	1	0.148095739982359	0
420	1	[803.5]	1	0	0.432089964802235	0.567910035197764	100	0	3	1	0	1	0.135820070395529	0
420	0	[829.1999999880791]	1	0	0.415383920484612	0.584616079515387	100	1	4	1	0	1	0.169232159030775	1
420	1	[732.3999999761581]	1	1	0.558680029374519	0.441319970625481	4	0	5	1	0	1	0.117360058749038	1
420	0	[757.2999999523163]	1	1	0.582942072314319	0.41705792768568	96	0	6	1	0	1	0.165884144628639	0
420	1	[724.1999999880791]	1	0	0.49352507204764	0.506474927952359	0	0	7	1	0	1	0.012949855904719	0
420	1	[749.4000000357628]	1	1	0.52607489479324	0.473925105206759	100	1	8	1	0	1	0.052149789586481	1
420	1	[300.5]	1	0	0.459518961695094	0.540481038304905	100	0	9	1	0	1	0.080962076609811	0
420	1	[748.1999999880791]	1	0	0.467550223621209	0.53244977637879	100	0	10	1	0	1	0.064899552757581	0
420	0	[993.3000000119209]	1	0	0.449686304270584	0.550313695729415	100	1	11	1	0	1	0.100627391458831	1
420	1	[804]	1	1	0.569761602640439	0.43023839735956	100	1	12	1	0	1	0.139523205280879	1
420	1	[786.1000000238419]	1	1	0.536324042889766	0.463675957110233	100	1	13	1	0	1	0.072648085779533	1
420	0	[771.7000000476837]	1	0	0.45138265406166	0.548617345938339	2	0	14	1	0	1	0.097234691876679	1
420	1	[853.8999999761581]	1	1	0.5281308840707	0.471869115929299	5	0	15	1	0	1	0.056261768141401	1
420	1	[499.7999999523163]	1	1	0.582949520775394	0.417050479224605	10	0	16	1	0	1	0.165899041550789	1
420	1	[671.8999999761581]	1	1	0.577659388466367	0.422340611533632	99	1	17	1	0	1	0.155318776932735	1
420	0	[861.6999999880791]	1	0	0.425317112465709	0.57468288753429	99	1	18	1	0	1	0.149365775068581	1
420	0	[806.4000000357628]	1	0	0.442919157998077	0.557080842001922	14	0	19	1	0	1	0.114161684003845	1
420	1	[733.6000000238419]	1	1	0.584653985018381	0.415346014981618	90	1	20	1	0	1	0.169307970036763	1
420	0	[728.1999999880791]	1	0	0.445695827770548	0.554304172229451	97	0	21	1	0	1	0.108608344458903	1
420	0	[874.7999999523163]	1	0	0.470874944453664	0.529125055546335	6	0	22	1	0	1	0.058250111092671	1
420	1	[725.6000000238419]	1	1	0.507103030729066	0.492896969270933	90	0	23	1	0	1	0.014206061458133	1
420	1	[684.8999999761581]	1	0	0.473148871327408	0.526851128672591	85	0	24	1	0	1	0.053702257345183	0
420	1	[573.1999999880791]	1	1	0.574567573770223	0.425432426229776	88	0	25	1	0	1	0.149135147540447	1
420	0	[780]	3	1	0.864127481608685	0.135872518391314	NaN	0	1	2	0	0	0.728254963217371	0
420	1	[897.3999999761581]	3	0	0.137835079548872	0.862164920451127	1	0	2	2	0	0	0.724329840902255	0
420	0	[610.6999999880791]	3	1	0.870209753108387	0.129790246891613	85	1	3	2	0	0	0.740419506216774	0
420	0	[656.5999999642372]	3	1	0.874774610066936	0.125225389933063	4	0	4	2	0	0	0.749549220133873	0
420	0	[779.1999999880791]	3	1	0.901538748253467	0.0984612517465327	99	1	5	2	0	0	0.803077496506934	0
420	1	[753.3000000119209]	3	0	0.141424600340631	0.858575399659368	99	1	6	2	0	0	0.717150799318737	0
420	1	[733.1000000238419]	3	0	0.139128822732739	0.86087117726726	2	0	7	2	0	0	0.721742354534521	0
420	0	[784.4000000357628]	3	1	0.901000470512529	0.0989995294874706	3	0	8	2	0	0	0.802000941025058	0
420	1	[476.7999999523163]	3	0	0.100247568449249	0.89975243155075	0	0	9	2	0	0	0.799504863101501	0
420	1	[741.6000000238419]	3	0	0.0845060588790882	0.915493941120911	97	1	10	2	0	0	0.830987882241823	0
420	1	[654.8000000119209]	3	0	0.108326066567251	0.891673933432748	4	0	11	2	0	0	0.783347866865497	0
420	1	[671.3999999761581]	3	0	0.111951641161738	0.888048358838261	50	0	12	2	0	0	0.776096717676523	0
420	0	[947.5]	3	1	0.914207693170294	0.0857923068297054	7	0	13	2	0	0	0.828415386340589	0
420	0	[933]	3	1	0.882007138953423	0.117992861046576	76	1	14	2	0	0	0.764014277906847	0
420	1	[781.8000000119209]	3	0	0.0583469614825251	0.941653038517474	16	0	15	2	0	0	0.883306077034949	0
420	1	[797]	3	0	0.057730952994619	0.94226904700538	88	1	16	2	0	0	0.884538094010761	0
420	1	[704.6000000238419]	3	0	0.0981512485917227	0.901848751408277	11	0	17	2	0	0	0.803697502816554	0
420	1	[586.0999999642372]	3	0	0.0512503078086828	0.948749692191317	91	1	18	2	0	0	0.897499384382634	0
420	0	[579.1999999880791]	3	1	0.927184440645089	0.0728155593549107	96	1	19	2	0	0	0.854368881290178	0
420	0	[518.1999999880791]	3	1	0.865688777097516	0.134311222902483	10	0	20	2	0	0	0.731377554195033	0
420	0	[558.3999999761581]	3	1	0.930028070573656	0.069971929426344	6	0	21	2	0	0	0.860056141147312	0
420	1	[903]	3	1	0.912045204287482	0.0879547957125179	8	0	22	2	0	0	0.824090408574964	1
420	1	[657.7000000476837]	3	0	0.10839968369592	0.891600316304079	3	0	23	2	0	0	0.783200632608159	0
420	0	[928.6000000238419]	3	1	0.93555994993848	0.0644400500615197	2	0	24	2	0	0	0.87111989987696	0
420	0	[535.1000000238419]	3	1	0.943365139861449	0.0566348601385504	2	0	25	2	0	0	0.886730279722899	0
420	1	[961.7999999523163]	1	0	0.432954799945533	0.567045200054467	NaN	0	1	3	0	0	0.134090400108934	0
420	0	[862.1000000238419]	1	0	0.483582223221655	0.516417776778344	97	0	2	3	0	0	0.032835553556689	1
420	0	[857.6999999880791]	1	1	0.534141431318788	0.465858568681211	6	0	3	3	0	0	0.068282862637577	0
420	1	[720]	1	1	0.506263048322276	0.493736951677723	4	0	4	3	0	0	0.012526096644553	1
420	1	[652.3999999761581]	1	0	0.478853327720402	0.521146672279597	3	0	5	3	0	0	0.042293344559195	0
420	0	[791.6999999880791]	1	0	0.430831355937712	0.569168644062287	5	1	6	3	0	0	0.138337288124575	1
420	1	[746.6000000238419]	1	1	0.551230490398094	0.448769509601905	1	1	7	3	0	0	0.102460980796189	1
420	1	[594]	1	1	0.57956706315649	0.420432936843509	94	0	8	3	0	0	0.159134126312981	1
420	0	[586.5]	1	0	0.479084438220089	0.52091556177991	3	1	9	3	0	0	0.041831123559821	1
420	1	[895.8999999761581]	1	0	0.49940928219458	0.50059071780542	6	1	10	3	0	0	0.00118143561084	0
420	0	[741.3999999761581]	1	1	0.500416901200009	0.49958309879999	94	0	11	3	0	0	0.000833802400019013	0
420	1	[652.6000000238419]	1	1	0.534219392061572	0.465780607938427	2	1	12	3	0	0	0.068438784123145	1
420	1	[600.3000000119209]	1	1	0.567501711578914	0.432498288421085	3	1	13	3	0	0	0.135003423157829	1
420	0	[654.9000000357628]	1	0	0.40756114609773	0.592438853902269	3	1	14	3	0	0	0.184877707804539	1
420	0	[703.5]	1	0	0.476993232711669	0.52300676728833	4	1	15	3	0	0	0.046013534576661	1
420	1	[883.1999999880791]	1	1	0.51565216771863	0.484347832281369	2	1	16	3	0	0	0.031304335437261	1
420	0	[615.9000000357628]	1	0	0.432193335861992	0.567806664138007	4	1	17	3	0	0	0.135613328276015	1
420	1	[615.3999999761581]	1	1	0.576519044935466	0.423480955064533	95	0	18	3	0	0	0.153038089870933	1
420	1	[747.9000000357628]	1	1	0.55786931541166	0.44213068458834	5	1	19	3	0	0	0.11573863082332	1
420	0	[656.1999999880791]	1	0	0.409385100740482	0.590614899259517	96	0	20	3	0	0	0.181229798519035	1
420	1	[810.5]	1	1	0.515825768030566	0.484174231969433	98	0	21	3	0	0	0.031651536061133	1
420	0	[547.5]	1	0	0.495163318659466	0.504836681340533	5	1	22	3	0	0	0.00967336268106694	1
420	0	[948.8000000119209]	1	0	0.460418728072865	0.539581271927134	97	0	23	3	0	0	0.079162543854269	1
420	1	[660.3000000119209]	1	1	0.531346955571917	0.468653044428082	7	1	24	3	0	0	0.062693911143835	1
420	1	[757]	1	1	0.519088279935813	0.480911720064186	5	1	25	3	0	0	0.038176559871627	1
