state,action,reward,state_0,state_1,mu,trials,correct,contrast_diff,subjective_obs,condition,contrast,value_a1,congruence,choice_cond
0,1,0,0.874222805416501,0.125777194583499,0.624740935138834,1,0,-0.0368421052631579,-0.0346668946165491,NaN,1,0.5,1,2
1,1,1,2.20139490566902e-06,0.999997798605094,0.733222370899771,2,1,0.0894736842105263,0.159636140459897,NaN,1,0.375259614069285,1,2
1,0,0,0.581220646578825,0.418779353421175,0.718370135041915,3,0,0.00526315789473684,-0.00616988564115818,NaN,1,0.537884943522252,1,2
0,0,1,0.772494387034417,0.227505612965583,0.757623545516332,4,1,-0.0157894736842105,-0.0225219315556684,NaN,1,0.619009272189739,1,2
1,1,1,0.0471174447190958,0.952882555280904,0.802994876560879,5,1,0.0368421052631579,0.0509529884056856,NaN,1,0.266653580812074,1,2
1,1,1,0.00209372959721238,0.997906270402788,0.83596617241438,6,1,0.068421052631579,0.0902482862638248,NaN,1,0.198273902120839,1,2
1,1,1,0.00316466579556593,0.996835334204434,0.859246083519608,7,1,0.0789473684210526,0.0855857922037564,NaN,1,0.166160268894234,1,2
0,0,1,0.813322046065873,0.186677953934127,0.872229646064888,8,1,-0.0578947368421053,-0.0268594818808569,NaN,1,0.72511943585903,1,2
0,0,1,0.999675248672548,0.000324751327451881,0.886866056382072,9,1,-0.0578947368421053,-0.110247207395213,NaN,1,0.871987881921535,1,2
0,0,1,0.842225945495747,0.157774054504253,0.89606754249465,10,1,-0.0263157894736842,-0.0303074142296796,NaN,1,0.764791203851131,1,2
1,1,1,0.243703244987199,0.756296755012801,0.90252672555298,11,1,0.00526315789473684,0.0209292062288375,NaN,1,0.296978348185453,1,2
0,1,0,0.353897817553775,0.646102182446225,0.896477032098711,12,0,-0.0157894736842105,0.0112834566610502,NaN,1,0.382379933807554,1,2
0,0,1,0.928905425559674,0.0710945744403259,0.905357227760386,13,1,-0.0263157894736842,-0.0445432591972658,NaN,1,0.840102300353868,1,2
0,0,1,0.855670714696374,0.144329285303626,0.912039159905615,14,1,-0.0473684210526316,-0.0320565151589528,NaN,1,0.788347389809755,1,2
0,0,1,0.999704962870509,0.000295037129490736,0.919157910405477,15,1,-0.0894736842105263,-0.11124215117922,NaN,1,0.911796026203662,1,2
0,0,1,0.939117584451094,0.0608824155489061,0.924782788095946,16,1,-0.0368421052631579,-0.0470177328412428,NaN,1,0.868119218241643,1,2
0,0,1,0.999466119524468,0.000533880475532193,0.93004496863506,17,1,-0.0473684210526316,-0.105046483266568,NaN,1,0.924329221622133,1,2
0,0,1,0.999968326266377,3.1673733623025e-05,0.934619117463975,18,1,-0.1,-0.133757307856335,NaN,1,0.930017726375495,1,2
1,1,1,0.000992471952902641,0.999007528047097,0.938626226725407,19,1,0.1,0.0984352450086044,NaN,1,0.066243577104582,1,2
0,0,1,0.999855543452663,0.000144456547337233,0.942172919651743,20,1,-0.0894736842105263,-0.118566874591451,NaN,1,0.938499501864839,1,2
1,1,1,0.00330099211770153,0.996699007882298,0.945320951769391,21,1,0.0157894736842105,0.0851036341136777,NaN,1,0.0607462989931201,1,2
1,1,1,0.211298702400772,0.788701297599228,0.947363114517731,22,1,0.0263157894736842,0.0241824481923945,NaN,1,0.242870526752107,1,2
1,1,1,0.267376568218402,0.732623431781598,0.949001912120048,23,1,0.0157894736842105,0.0187025643596761,NaN,1,0.291865714096763,1,2
0,0,1,0.981371295484049,0.0186287045159508,0.951430503158795,24,1,-0.0578947368421053,-0.0639707874718311,NaN,1,0.932273264224086,1,2
0,0,1,0.966546547187996,0.0334534528120043,0.953601272454087,25,1,-0.1,-0.0559557575898679,NaN,1,0.921226685088151,1,2
0,0,1,0.996302832004017,0.00369716799598285,0.665434277334672,1,1,-0.0789473684210526,-0.0838017984001119,NaN,1,0.5,0,2
0,0,1,0.985490451298609,0.0145095487013912,0.747689843093502,2,1,-0.1,-0.067226164289007,NaN,1,0.660633523926939,0,2
1,0,0,0.715037790660361,0.284962209339639,0.705944002550097,3,0,0.00526315789473684,-0.0171140811505583,NaN,1,0.606525353255677,0,2
1,1,1,0.00275678494340407,0.997243215056596,0.767280744112887,4,1,0.0894736842105263,0.0871549950545196,NaN,1,0.295191484100732,0,2
1,1,1,0.000135097445646725,0.999864902554353,0.808286731835733,5,1,0.0789473684210526,0.119247314399953,NaN,1,0.232791473778713,0,2
1,1,1,0.033104048514065,0.966895951485935,0.836159194531043,6,1,0.068421052631579,0.0561050537384163,NaN,1,0.212124346018132,0,2
1,1,1,0.0448156506559313,0.955184349344069,0.856922455623382,7,1,0.068421052631579,0.0517016951888144,NaN,1,0.193971191522722,0,2
0,0,1,0.831455927498932,0.168544072501068,0.870195730232672,8,1,-0.0368421052631579,-0.0289776570063653,NaN,1,0.736608127147689,0,2
1,1,1,6.85877297497147e-05,0.99993141227025,0.884659812705784,9,1,0.0473684210526316,0.126078331364689,NaN,1,0.129855051536727,0,2
1,0,0,0.970490868161851,0.0295091318381486,0.814674253542045,10,0,0.00526315789473684,-0.0577252378473249,NaN,1,0.861957858453839,0,2
1,1,1,0.00182520815197866,0.998174791848021,0.833112969140836,11,1,0.0789473684210526,0.0917750186577213,NaN,1,0.186474438483521,0,2
1,0,0,0.628998174075099,0.371001825924901,0.825122042248743,12,0,0.0473684210526316,-0.0099091968568945,NaN,1,0.585941929559805,0,2
1,1,1,0.252231766054549,0.747768233945451,0.835292509124851,13,1,0.068421052631579,0.0201142114737758,NaN,1,0.338890171550581,0,2
