state,action,reward,state_0,state_1,mu,trials,correct,contrast_diff,subjective_obs,condition,contrast,value_a1,congruence
1,0,0,0.515440021476776,0.484559978523224,0.494853326174408,1,0,0.00526315789473684,-0.0561193976484768,NaN,NaN,0.5,NaN
1,1,1,0.394399650362788,0.605600349637212,0.530118920114636,2,1,0.0368421052631579,0.389552337983681,NaN,NaN,0.501086981110902,NaN
1,1,1,0.394975152912195,0.605024847087805,0.564253192693089,3,1,0.068421052631579,0.387364352287012,NaN,NaN,0.493673530041021,NaN
0,0,1,0.585972334687344,0.414027665312656,0.59113407181869,4,1,-0.1,-0.315510339333003,NaN,NaN,0.511047993973881,NaN
1,0,0,0.532014146299037,0.467985853700963,0.581138821193257,5,0,0.0157894736842105,-0.116483014774719,NaN,NaN,0.505835159016061,NaN
1,1,1,0.261266600226671,0.738733399773329,0.650356665855617,6,1,0.0894736842105263,0.944009702893864,NaN,NaN,0.461258906725867,NaN
0,1,0,0.480377067797623,0.519622932202377,0.645053313454513,7,0,-0.0157894736842105,0.0713368393760848,NaN,NaN,0.49409912267948,NaN
1,1,1,0.430646760726511,0.569353239273489,0.663082431573126,8,1,0.0894736842105263,0.253628121384339,NaN,NaN,0.479880165689153,NaN
0,0,1,0.598113636278909,0.401886363721091,0.686848833514232,9,1,-0.0368421052631579,-0.361173062302335,NaN,NaN,0.532001220749692,NaN
1,1,1,0.442173490038761,0.557826509961239,0.700088564452876,10,1,0.0473684210526316,0.211056242349882,NaN,NaN,0.478390368135087,NaN
1,1,1,0.348240690228844,0.651759309771156,0.730915967212091,11,1,0.0789473684210526,0.569320580374719,NaN,NaN,0.43926939513106,NaN
0,1,0,0.440438970149763,0.559561029850237,0.718397974947678,12,0,-0.0157894736842105,0.217446550185013,NaN,NaN,0.472492814367969,NaN
0,1,0,0.501364952537427,0.498635047462573,0.718683271014226,13,0,-0.0263157894736842,-0.00495959126592858,NaN,NaN,0.500596205740148,NaN
1,1,1,0.41437825160168,0.58562174839832,0.735332716280842,14,1,0.0263157894736842,0.314197905566202,NaN,NaN,0.462551911980596,NaN
1,1,1,0.450555422988601,0.549444577011399,0.744473816208191,15,1,0.0157894736842105,0.180245712886345,NaN,NaN,0.4767281467731,NaN
0,0,1,0.515289728588611,0.484710271411389,0.747258620882722,16,1,-0.0894736842105263,-0.0555727906021076,NaN,NaN,0.50747587659369,NaN
0,0,1,0.64735008523329,0.35264991476671,0.770697043668692,17,1,-0.0473684210526316,-0.551728340910682,NaN,NaN,0.57286715772347,NaN
0,0,1,0.531679738005422,0.468320261994578,0.775542405168801,18,1,-0.0894736842105263,-0.115262996129299,NaN,NaN,0.517151222844533,NaN
0,1,0,0.427555898041597,0.572444101958403,0.763461888257297,19,0,-0.0263157894736842,0.26508887024938,NaN,NaN,0.460077155812176,NaN
1,0,0,0.529746334100161,0.470253665899839,0.75840887785492,20,0,0.0473684210526316,-0.108211373353074,NaN,NaN,0.515674050701522,NaN
1,1,1,0.43866333655153,0.56133666344847,0.768169882518022,21,1,0.0578947368421053,0.22399387162623,NaN,NaN,0.468300123253832,NaN
0,0,1,0.640131357405945,0.359868642594055,0.787623632635005,22,1,-0.0894736842105263,-0.523139841701492,NaN,NaN,0.575158019305287,NaN
1,0,0,0.504853997696145,0.495146002303855,0.786941876468755,23,0,0.1,-0.0176376387647631,NaN,NaN,0.502792248900334,NaN
1,1,1,0.4374157696657,0.5625842303343,0.795135281299839,24,1,0.0578947368421053,0.228597493165282,NaN,NaN,0.464083927021046,NaN
0,0,1,0.567579183735428,0.432420816264572,0.803407650361929,25,1,-0.0894736842105263,-0.247059109740483,NaN,NaN,0.539890002803538,NaN
