ID	choice	rt	choice_cond	state	contrast_left	contrast_right	mu	correct	trials	blocks	contrast	congruence	con_diff_choice	ecoperf
355	1	[636.8000000002794]	2	0	0.444498328504053	0.555501671495946	50	1	1	1	1	1	0.111003342991893	1
355	0	[390.89999999990687]	2	1	0.580079499414794	0.419920500585205	66	1	2	1	1	1	0.160158998829589	1
355	0	[767.0999999996275]	2	1	0.57071647121187	0.429283528788129	75	1	3	1	1	1	0.141432942423741	1
355	1	[605.3999999999069]	2	0	0.464476917545825	0.535523082454174	80	1	4	1	1	1	0.071046164908349	1
355	0	[695.6000000000931]	2	1	0.532433238765283	0.467566761234716	88	1	5	1	1	1	0.064866477530567	1
355	1	[523]	2	0	0.431881495173233	0.568118504826767	88	1	6	1	1	1	0.136237009653534	1
355	1	[374.59999999962747]	2	0	0.428239253666885	0.571760746333114	93	1	7	1	1	1	0.143521492666229	1
355	1	[452.79999999981374]	2	0	0.432183352657848	0.567816647342151	90	1	8	1	1	1	0.135633294684303	1
355	1	[431.09999999962747]	2	0	0.423406483527398	0.576593516472601	92	1	9	1	1	1	0.153187032945203	1
355	1	[393.90000000037253]	2	0	0.423663192485886	0.576336807514113	95	1	10	1	1	1	0.152673615028227	1
355	1	[687.3000000002794]	2	0	0.454852766314439	0.54514723368556	97	1	11	1	1	1	0.090294467371121	1
355	0	[807.8000000002794]	2	1	0.52869604795883	0.471303952041169	94	1	12	1	1	1	0.057392095917661	1
355	0	[756.5]	2	1	0.526150912414655	0.473849087585344	99	1	13	1	1	1	0.052301824829311	1
355	0	[503.5]	2	1	0.596518957455341	0.403481042544658	100	1	14	1	1	1	0.193037914910683	1
355	0	[515.3000000002794]	2	1	0.579188030928363	0.420811969071636	100	1	15	1	1	1	0.158376061856727	1
355	1	[520.7999999998137]	2	0	0.417446852523407	0.582553147476592	100	1	16	1	1	1	0.165106294953185	1
355	0	[462.5]	2	1	0.591375101356737	0.408624898643262	100	1	17	1	1	1	0.182750202713475	1
355	1	[959.2999999998137]	2	1	0.515370594063149	0.48462940593685	100	0	18	1	1	1	0.030741188126299	0
355	0	[450.90000000037253]	2	1	0.593577958701272	0.406422041298727	100	1	19	1	1	1	0.187155917402545	1
355	1	[445]	2	0	0.413166057010471	0.586833942989528	100	1	20	1	1	1	0.173667885979057	1
355	0	[709.5]	2	1	0.534047336553866	0.465952663446133	100	1	21	1	1	1	0.068094673107733	1
355	1	[470.90000000037253]	2	0	0.423137251178334	0.576862748821665	100	1	22	1	1	1	0.153725497643331	1
355	0	[546.4000000003725]	2	1	0.553545986349066	0.446454013650933	100	1	23	1	1	1	0.107091972698133	1
355	1	[411.8000000002794]	2	0	0.458599151865027	0.541400848134972	100	1	24	1	1	1	0.082801696269945	1
355	1	[506]	2	0	0.496777283714906	0.503222716285093	100	0	25	1	1	1	0.00644543257018698	1
355	0	[462.8000000002794]	3	1	0.949982649041992	0.0500173509580074	50	1	1	2	0	1	0.899965298083985	0
355	0	[671.6000000000931]	3	1	0.9088469975867	0.0911530024132994	50	0	2	2	0	1	0.817693995173401	0
355	1	[863.2000000001863]	3	0	0.0583854971524313	0.941614502847568	60	0	3	2	0	1	0.883229005695137	0
355	1	[682.6000000000931]	3	1	0.87573311041092	0.124266889589079	50	0	4	2	0	1	0.751466220821841	1
355	1	[643.3000000002794]	3	0	0.0521148481402871	0.947885151859712	50	1	5	2	0	1	0.895770303719425	0
355	0	[605.2000000001863]	3	1	0.852212396316514	0.147787603683485	59	0	6	2	0	1	0.704424792633029	0
355	1	[382.8000000002794]	3	1	0.912969382198124	0.0870306178018758	62	1	7	2	0	1	0.825938764396248	1
