ID	choice	rt	choice_cond	state	contrast_left	contrast_right	mu	correct	trials	blocks	contrast	congruence	con_diff_choice	ecoperf
359	1	[749.7999999988824]	2	1	0.521822540526357	0.478177459473642	50	1	1	1	0	0	0.043645081052715	1
359	0	[884.1999999992549]	2	0	0.469931173100316	0.530068826899683	50	1	2	1	0	0	0.060137653799367	1
359	0	[603.1999999992549]	2	0	0.401841264983064	0.598158735016936	35	1	3	1	0	0	0.196317470033872	1
359	1	[605.9000000003725]	2	1	0.571602296875372	0.428397703124627	23	1	4	1	0	0	0.143204593750745	1
359	1	[545.7000000011176]	2	1	0.582236401806189	0.41776359819381	18	1	5	1	0	0	0.164472803612379	1
359	0	[583.4000000003725]	2	0	0.460412061187649	0.53958793881235	11	1	6	1	0	0	0.079175877624701	1
359	0	[507.90000000037253]	2	0	0.413754241684371	0.586245758315628	8	1	7	1	0	0	0.172491516631257	1
359	0	[870.5999999996275]	2	0	0.487312905774047	0.512687094225952	6	1	8	1	0	0	0.025374188451905	1
359	1	[742.4000000003725]	2	1	0.514274595315892	0.485725404684107	0	1	9	1	0	0	0.028549190631785	1
359	0	[596.0999999996275]	2	0	0.434453936071869	0.56554606392813	0	1	10	1	0	0	0.131092127856261	1
359	0	[597.8000000007451]	2	0	0.417753327173513	0.582246672826486	0	1	11	1	0	0	0.164493345652973	1
359	1	[629.5]	2	1	0.518118353986352	0.481881646013647	0	1	12	1	0	0	0.036236707972705	1
359	0	[661.1999999992549]	2	0	0.433036539366873	0.566963460633127	0	1	13	1	0	0	0.133926921266254	1
359	1	[625.6000000014901]	2	1	0.527763131162326	0.472236868837673	0	1	14	1	0	0	0.055526262324653	1
359	0	[645.9000000003725]	2	0	0.41714078450484	0.582859215495159	0	1	15	1	0	0	0.165718430990319	1
359	1	[583.5999999996275]	2	1	0.565607283033011	0.434392716966988	0	1	16	1	0	0	0.131214566066023	1
359	1	[616.5999999996275]	2	1	0.521676954413751	0.478323045586248	0	1	17	1	0	0	0.043353908827503	1
