ID	choice	rt	choice_cond	state	contrast_left	contrast_right	mu	correct	trials	blocks	contrast	congruence	con_diff_choice	ecoperf
306	1	[688.7000000476837]	1	0	0.409200256854485	0.590799743145514	100	0	1	1	0	1	0.181599486291029	0
306	0	[669.9000000953674]	1	0	0.474075985771642	0.525924014228357	76	1	2	1	0	1	0.051848028456715	1
306	1	[489]	1	1	0.510483881131569	0.48951611886843	100	1	3	1	0	1	0.020967762263139	1
306	1	[640.1000000238419]	1	1	0.507531937409059	0.49246806259094	63	0	4	1	0	1	0.015063874818119	1
306	0	[641.9000000953674]	1	0	0.469356509674237	0.530643490325762	54	0	5	1	0	1	0.061286980651525	1
306	1	[499.6999999284744]	1	1	0.548329434985526	0.451670565014473	71	1	6	1	0	1	0.096658869971053	1
306	1	[532]	1	1	0.561014417839461	0.438985582160538	25	0	7	1	0	1	0.122028835678923	1
306	1	[638.0999999046326]	1	1	0.534442099911541	0.465557900088459	24	1	8	1	0	1	0.068884199823082	1
306	0	[642.2000000476837]	1	0	0.495495095124051	0.504504904875948	38	1	9	1	0	1	0.00900980975189702	1
306	0	[525.1000000238419]	1	1	0.503700097144769	0.49629990285523	63	1	10	1	0	1	0.00740019428953903	0
306	1	[559.7000000476837]	1	1	0.576332076506489	0.42366792349351	75	1	11	1	0	1	0.152664153012979	1
306	0	[560.3000000715256]	1	0	0.449753810601339	0.55024618939866	74	1	12	1	0	1	0.100492378797321	1
306	0	[724.2000000476837]	1	1	0.509871931627936	0.490128068372064	75	0	13	1	0	1	0.019743863255872	0
306	1	[442.5]	1	1	0.553416132118942	0.446583867881057	76	1	14	1	0	1	0.106832264237885	1
306	0	[551.2000000476837]	1	0	0.480785708092401	0.519214291907598	74	1	15	1	0	1	0.038428583815197	1
306	1	[462.5]	1	1	0.541132488066391	0.458867511933608	64	0	16	1	0	1	0.0822649761327831	1
306	0	[445.60000002384186]	1	0	0.425158261130271	0.574841738869728	75	1	17	1	0	1	0.149683477739457	1
306	0	[495.39999997615814]	1	0	0.42220884645103	0.577791153548969	48	0	18	1	0	1	0.155582307097939	1
306	1	[523]	1	1	0.54479905413805	0.455200945861949	59	1	19	1	0	1	0.089598108276101	1
306	0	[528.1999999284744]	1	0	0.459028850375086	0.540971149624914	69	1	20	1	0	1	0.081942299249828	1
306	0	[829]	1	0	0.486676683665197	0.513323316334803	63	0	21	1	0	1	0.026646632669606	1
306	1	[761.1999999284744]	1	1	0.512358001869073	0.487641998130926	72	1	22	1	0	1	0.024716003738147	1
306	0	[552.5]	1	0	0.438651628825076	0.561348371174923	75	1	23	1	0	1	0.122696742349847	1
306	0	[559]	1	0	0.427216234476528	0.572783765523471	76	0	24	1	0	1	0.145567531046943	1
306	1	[581]	1	1	0.561992594316997	0.438007405683002	76	1	25	1	0	1	0.123985188633995	1
306	1	[543.4000000953674]	2	0	0.475095905940994	0.524904094059005	23	0	1	2	0	0	0.049808188118011	0
306	1	[821.5]	2	1	0.599464631415036	0.400535368584963	23	1	2	2	0	0	0.198929262830073	1
306	1	[861.1999999284744]	2	1	0.513707877580686	0.486292122419313	17	1	3	2	0	0	0.027415755161373	1
306	1	[464.09999990463257]	2	1	0.578682793157961	0.421317206842038	8	1	4	2	0	0	0.157365586315923	1
306	0	[539.6999999284744]	2	0	0.483918288195641	0.516081711804358	2	1	5	2	0	0	0.032163423608717	1
306	1	[510.40000009536743]	2	1	0.516384544516216	0.483615455483783	6	1	6	2	0	0	0.032769089032433	1
306	0	[528]	2	0	0.462906972979498	0.537093027020501	4	1	7	2	0	0	0.074186054041003	1
306	1	[552.0999999046326]	2	1	0.544293665588974	0.455706334411025	3	1	8	2	0	0	0.088587331177949	1
