ID	choice	rt	condition_int	state	contrast_left	contrast_right	reward	trials	blocks	contrast	ecoperf
165	1	557.299999952316	2	1	0.56698310293117	0.433016897068829	1	1	1	0	1
165	0	432.699999988079	2	0	0.431856649008504	0.568143350991495	0	2	1	0	1
165	0	703.399999976158	2	0	0.483634712399443	0.516365287600556	0	3	1	0	1
165	1	817.599999964237	2	1	0.517620724074647	0.482379275925352	1	4	1	0	1
165	1	783.199999988079	2	1	0.50502765550594	0.494972344494059	1	5	1	0	1
165	1	944	2	0	0.468047224942728	0.531952775057271	0	6	1	0	0
165	0	553.30000001192	2	0	0.457108554818256	0.542891445181743	0	7	1	0	1
165	1	540.100000023841	2	1	0.57368674295769	0.426313257042309	1	8	1	0	1
165	0	477.199999988079	2	0	0.423919454290572	0.576080545709427	0	9	1	0	1
165	0	569.5	2	0	0.449613139388035	0.550386860611964	0	10	1	0	1
165	0	440.600000023841	2	1	0.537111227367946	0.462888772632053	1	11	1	0	0
165	0	518.199999988079	2	0	0.463410119124023	0.536589880875976	0	12	1	0	1
165	1	475.5	2	1	0.552608254717309	0.44739174528269	1	13	1	0	1
165	0	471.400000035762	2	0	0.43904474371118	0.560955256288819	0	14	1	0	1
165	0	591.600000023841	2	0	0.480726407430267	0.519273592569732	0	15	1	0	1
165	0	478.5	2	0	0.428690337144802	0.571309662855197	0	16	1	0	1
165	0	555.099999964237	2	1	0.511073217203854	0.488926782796145	1	17	1	0	0
165	0	539.80000001192	2	1	0.508151055675329	0.49184894432467	1	18	1	0	0
165	0	484.899999976158	2	0	0.451033910297057	0.548966089702942	0	19	1	0	1
165	0	517.199999988079	2	0	0.479100902239576	0.520899097760423	0	20	1	0	1
165	0	544.899999976158	2	0	0.482644005646593	0.517355994353406	0	21	1	0	1
165	1	448.100000023841	2	1	0.578525939514331	0.421474060485668	1	22	1	0	1
165	1	715.299999952316	2	1	0.528830437045029	0.47116956295497	1	23	1	0	1
165	1	469.30000001192	2	1	0.565997461833882	0.434002538166117	1	24	1	0	1
165	0	992.899999976158	2	1	0.506285612819011	0.493714387180988	1	25	1	0	0
165	0	407	4	1	0.807090657220183	0.192909342779816	1	1	2	0	0
165	0	385.200000047683	4	0	0.195638460347127	0.804361539652872	0	2	2	0	1
165	0	351.400000035762	4	0	0.195401440484421	0.804598559515578	0	3	2	0	1
165	1	444.399999976158	4	1	0.815702487881736	0.184297512118263	1	4	2	0	1
165	1	370.399999976158	4	1	0.867329350263455	0.132670649736544	1	5	2	0	1
165	1	346.30000001192	4	1	0.877253561708659	0.12274643829134	1	6	2	0	1
165	1	348.099999964237	4	1	0.828641571845668	0.171358428154331	1	7	2	0	1
165	0	379.5	4	0	0.161548873498933	0.838451126501066	0	8	2	0	1
165	0	308.5	4	0	0.184485932031159	0.81551406796884	0	9	2	0	1
165	0	331.80000001192	4	0	0.19104681648192	0.808953183518079	0	10	2	0	1
165	0	365.199999988079	4	0	0.173313384339149	0.82668661566085	0	11	2	0	1
165	0	361.199999988079	4	0	0.160980394291814	0.839019605708185	0	12	2	0	1
165	0	371.899999976158	4	0	0.125140878922836	0.874859121077163	0	13	2	0	1
165	1	384.899999976158	4	1	0.876224254396935	0.123775745603064	1	14	2	0	1
165	1	411.799999952316	4	1	0.86924542658208	0.130754573417919	1	15	2	0	1
165	0	367.5	4	0	0.138385554129831	0.861614445870168	0	16	2	0	1
165	0	372.100000023841	4	0	0.128611106753658	0.871388893246342	0	17	2	0	1
165	1	341.100000023841	4	1	0.828879351511515	0.171120648488484	1	18	2	0	1
165	1	393.600000023841	4	1	0.837592976081037	0.162407023918962	1	19	2	0	1
